ID,circname
245,hsa_circ_0017881
246,hsa_circ_0081149
247,hsa_circ_0081609
248,hsa_circ_0018969
249,hsa_circ_0007148
250,hsa_circ_0067995
251,hsa_circ_0081114
252,hsa_circ_0071606
253,hsa_circ_0067985
254,hsa_circ_0008494
255,hsa_circ_0081144
256,hsa_circ_0008957
257,hsa_circ_0081058
258,hsa_circ_0007984
259,hsa_circ_0006501
260,hsa_circ_0017883
261,hsa_circ_0132817
262,hsa_circ_0081633
263,hsa_circ_0068007
264,hsa_circ_0017865
265,hsa_circ_0081063
266,hsa_circ_0001006
267,hsa_circ_0067976
268,hsa_circ_0081090
269,hsa_circ_0018967
270,hsa_circ_0081091
271,hsa_circ_0081146
272,hsa_circ_0081165
273,hsa_circ_0081095
274,hsa_circ_0081111
275,hsa_circ_0067977
276,hsa_circ_0005045
277,hsa_circ_0001362
278,hsa_circ_0081068
279,hsa_circ_0068001
280,hsa_circ_0120380
281,hsa_circ_0081082
282,hsa_circ_0043603
283,hsa_circ_0081157
284,hsa_circ_0006913
285,hsa_circ_0071618
286,hsa_circ_0081059
287,hsa_circ_0071597
288,hsa_circ_0022575
289,hsa_circ_0120379
290,hsa_circ_0081094
291,hsa_circ_0122725
292,hsa_circ_0001732
293,hsa_circ_0081071
294,hsa_circ_0040796
295,hsa_circ_0071598
296,hsa_circ_0035837
297,hsa_circ_0081142
298,hsa_circ_0022574
299,hsa_circ_0081154
300,hsa_circ_0092353
301,hsa_circ_0071607
302,hsa_circ_0104221
303,hsa_circ_0122726
304,hsa_circ_0054598
305,hsa_circ_0120382
306,hsa_circ_0132816
307,hsa_circ_0067974
308,hsa_circ_0022582
309,hsa_circ_0060456
310,hsa_circ_0081150
311,hsa_circ_0017873
312,hsa_circ_0003605
313,hsa_circ_0018964
314,hsa_circ_0002026
315,hsa_circ_0068011
316,hsa_circ_0044556
317,hsa_circ_0094250
318,hsa_circ_0067984
319,hsa_circ_0067968
320,hsa_circ_0081055
