,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476
431,0.8,0.00075497,0.003167062,0.001445942,0.001021629,0.001445942,0.000831091,0.000467491,0.010105173,0.003360179,0.003360179,0.000389614,0.000711093,0.000944763,0.00075497,0.001953612,0.0031682,0.000711093,0.002146729,0.000582238,0.000832842,0.001445942,0.000389614,0.000467491,0.001253963,0.000828733,0.000346418,0.003180237,0.002146729,0.000977752,0.010061296,0.002146729,0.005597407,0.000389614,0.000582238,0.001999371,0.001445942,0.005404292,0.001445942,0.005404298,0.003360179,0.000226183,0.000919724,0.010061296,0.001445942,0.005404483
432,0.00075497,0.8,0.000104831,0.401953612,0.400274375,0.405404291,9.00E-05,0.400828512,0.400196498,0.405404291,0.401953612,0.400561853,0.066548643,0.028401434,0.400828512,0.000561854,0.000844558,0.066548643,0.400561853,0.403167062,0.000169084,0.400828512,0.409912056,0.405404291,7.45E-05,0.000144838,0.010591883,0.000547578,0.403167062,0.066281984,0.066548643,0.400142658,0.400274375,0.403167062,0.403167062,0.004031652,0.401953612,0.000561859,0.405404291,0.000274409,0.400828512,0.011520321,0.015153001,0.066109252,0.400104831,0.0005637
433,0.003167062,0.000104831,0.8,0.000389122,0.001252825,0.000196498,0.003167062,0.000389122,0.005404291,0.000389122,0.000828513,0.000274375,0.000828513,0.009912056,0.000389122,0.001252825,0.000828512,0.000389122,0.001252825,0.000142658,0.003167062,0.000828513,4.42E-05,0.000104831,0.005404291,0.003167062,5.84E-05,0.020353286,0.000274375,0.000561854,0.001953612,0.003167062,0.003167062,4.42E-05,7.79E-05,0.001252825,0.000828513,0.003167071,0.000196498,0.003167101,0.000828513,4.42E-05,0.000561854,0.001953612,0.005404291,0.003167064
434,0.001445942,0.401953612,0.000389122,0.8,0.401252825,0.405404291,0.000188417,0.405404291,0.400389122,0.401953612,0.401953612,0.401252825,0.067673743,0.028499886,0.400828512,0.003167062,0.000844558,0.067673743,0.401252825,0.403167062,0.000365587,0.401953612,0.401252825,0.401953612,0.000212543,0.000564033,0.009466783,0.000831869,0.400561853,0.066972956,0.067673743,0.400561853,0.401252825,0.400561853,0.401252825,0.004031652,0.400828512,0.00125283,0.420353286,0.00125286,0.401953612,0.00286109,0.016131452,0.066109252,0.400389122,0.0005637
435,0.001021629,0.400274375,0.001252825,0.401252825,0.8,0.400274375,0.000874271,0.403167062,0.403167062,0.401252825,0.401252825,0.401953612,0.075632187,0.03031084,0.400274375,0.001953612,0.001268871,0.068887193,0.400828512,0.400389122,0.005495503,0.403167062,0.400104831,0.400274375,0.003183108,0.000391301,0.008780929,0.003609809,0.400196498,0.067673743,0.066972956,0.405404291,0.401953612,0.400104831,0.400196498,0.005423411,0.400561853,0.000828518,0.400561853,0.001953647,0.401252825,0.001713095,0.016832239,0.066281984,0.403167062,0.000830359
436,0.001445942,0.405404291,0.000196498,0.405404291,0.400274375,0.8,0.000123631,0.401953612,0.400389122,0.405404291,0.400828512,0.401252825,0.066548643,0.0284351,0.400828512,0.000561854,0.000844558,0.066548643,0.401252825,0.409912056,0.00023387,0.400828512,0.403167062,0.401953612,0.000120876,0.000276555,0.010591883,0.000639245,0.401252825,0.066972956,0.067673743,0.400274375,0.400561853,0.401252825,0.401252825,0.004031652,0.401953612,0.00125283,0.420353286,0.000561888,0.405404291,0.004775327,0.015153001,0.066548643,0.400196498,0.0005637
437,0.000831091,9.00E-05,0.003167062,0.000188417,0.000874271,0.000123631,0.8,0.000320134,0.001298584,0.000188417,0.000320134,0.000434881,0.000598619,0.005433976,0.000188417,0.000828512,0.000562308,0.000598619,0.000434881,0.000104172,0.005405859,0.000607612,6.58E-05,9.00E-05,0.003167516,0.00082861,4.55E-05,0.003171392,0.00015059,0.000425887,0.000598619,0.00545005,0.001999371,6.58E-05,0.000104172,0.000402297,0.000320134,0.000828513,0.000123631,0.001953615,0.000320134,2.90E-05,0.000852591,0.001289591,0.003212821,0.000389207
438,0.000467491,0.400828512,0.000389122,0.405404291,0.403167062,0.401953612,0.000320134,0.8,0.400389122,0.400828512,0.400828512,0.409912056,0.086073416,0.028631603,0.400828512,0.001252825,0.000405167,0.071124421,0.400561853,0.403167062,0.000653065,0.401953612,0.400561853,0.401953612,0.000405167,0.000276555,0.009027393,0.001271259,0.400142658,0.066972956,0.066548643,0.401252825,0.400561853,0.400274375,0.400274375,0.003744174,0.400828512,0.000561859,0.401953612,0.000561888,0.401953612,0.002170118,0.01544048,0.065916628,0.400828512,0.000276222
439,0.010105173,0.400196498,0.005404291,0.400389122,0.403167062,0.400389122,0.001298584,0.400389122,0.8,0.400828512,0.401953612,0.400274375,0.066548643,0.03152429,0.400389122,0.001252825,0.001969657,0.066109252,0.401252825,0.400274375,0.003258274,0.400828512,0.400077872,0.400196498,0.005420336,0.000564033,0.008743102,0.005847038,0.400561853,0.066972956,0.071124421,0.403167062,0.403167062,0.400077872,0.400142658,0.006636861,0.400828512,0.003167067,0.400389122,0.003167097,0.401953612,0.001686136,0.016131452,0.071124421,0.401953612,0.003168909
